"tier","pathway","n_patients","rho_os","p_os","median_untreated","median_treated","p_treatment","constant_effect","q_os","q_treatment"
"libsize","HALLMARK_PANCREAS_BETA_CELLS",13,0.0164835164835165,0.957376175090185,0.532166666666667,0.519026785714286,0.832944832944833,FALSE,0.97691446437774,0.886111524409397
"none","HALLMARK_PANCREAS_BETA_CELLS",13,-0.186813186813187,0.541123523509894,0.617125,0.603267857142857,0.523698523698524,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_PANCREAS_BETA_CELLS",13,0.148351648351648,0.628609417889416,0.54425,0.545375,0.523698523698524,FALSE,0.818146050368391,0.86333419666753
"libsize","HALLMARK_PEROXISOME",13,-0.159340659340659,0.603087753131897,0.611625,0.70125,0.523698523698524,FALSE,0.837621879349858,0.79348261166443
"none","HALLMARK_PEROXISOME",13,-0.126373626373626,0.680785475070949,0.86975,0.702125,0.435120435120435,FALSE,0.95147537639111,0.94591398939225
"pcs","HALLMARK_PEROXISOME",13,-0.428571428571429,0.143971434687836,0.7035,0.6695,1,FALSE,0.710292532657515,1
"libsize","HALLMARK_PI3K_AKT_MTOR_SIGNALING",13,-0.043956043956044,0.886619022789078,0.815833333333333,0.779375,0.523698523698524,FALSE,0.94321172637136,0.79348261166443
"none","HALLMARK_PI3K_AKT_MTOR_SIGNALING",13,-0.148351648351648,0.628609417889416,0.545166666666667,0.54625,1,FALSE,0.95147537639111,1
"pcs","HALLMARK_PI3K_AKT_MTOR_SIGNALING",13,-0.21978021978022,0.470614851472142,0.6685,0.687,0.621600621600622,FALSE,0.725914440230714,0.86333419666753
"libsize","HALLMARK_PROTEIN_SECRETION",13,0.021978021978022,0.943186241660807,0.63975,0.633875,0.724164724164724,FALSE,0.97691446437774,0.862100862100862
"none","HALLMARK_PROTEIN_SECRETION",13,-0.642857142857143,0.0177924506923757,0.850875,0.593585714285714,0.0295260295260295,FALSE,0.864651458552692,0.738150738150738
"pcs","HALLMARK_PROTEIN_SECRETION",13,-0.0714285714285714,0.816628040676086,0.466875,0.586175,0.523698523698524,FALSE,0.88763917464792,0.86333419666753
"libsize","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",13,0.10989010989011,0.720809799513861,0.587166666666667,0.589910714285714,0.832944832944833,FALSE,0.901012249392327,0.886111524409397
"none","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",13,0.148351648351648,0.628609417889416,0.5455,0.543675,0.832944832944833,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",13,0.318681318681319,0.28858316144472,0.62725,0.6594375,0.435120435120435,FALSE,0.710292532657515,0.836770067539298
