adjustment,neglog10_p_raw,neglog10_p_adjusted
Marker modules,0.22329881601158919,-0.0
Marker modules,0.24070996697569602,0.10596099919539108
Marker modules,0.12580819532092882,0.0015226969634935688
Marker modules,0.02988567771490289,-0.0
Marker modules,0.07961575782164251,0.05774384958053509
Marker modules,0.04744970610179836,0.00021720154586423186
Marker modules,1.1135092748275182,0.40726823360603776
Marker modules,1.0,0.14176366457048697
Marker modules,1.709965388637482,-0.0
Marker modules,0.8477116556169435,-0.0
Marker modules,2.3467874862246565,2.8239087409443187
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,0.0788339493622613,-0.0
Marker modules,1.0362121726544447,0.02664120011360232
Marker modules,0.21752737583371382,0.06323500239005861
Marker modules,1.537602002101044,0.6808939406902237
Marker modules,3.3010299956639813,2.6989700043360187
Marker modules,1.2254830342714504,0.37623399986606904
Marker modules,0.2006594505464183,0.16717187046064652
Marker modules,0.3580304022979407,0.014124642691606345
Marker modules,0.17134010346468015,0.00021720154586423186
Marker modules,0.7569619513137056,-0.0
Marker modules,0.12959609472097294,-0.0
Marker modules,0.9829666607012196,-0.0
Marker modules,1.0888423912600234,0.6645420993106158
Marker modules,0.04599883231842984,-0.0
Marker modules,0.8210230527068306,0.7520267336381934
Marker modules,0.23210238398190938,-0.0
